iter	TotalF1:average=Macro	MultiClass
153	0.7140427737	0.6588077706
154	0.7140730898	0.658495063
155	0.7144097384	0.6578558885
156	0.714874479	0.6572691512
157	0.7152740848	0.6568806069
158	0.7148730511	0.6565881814
159	0.7154530747	0.6562714841
160	0.7159470424	0.6558931768
161	0.7160502936	0.6553651707
162	0.7164039614	0.6546550331
163	0.7170543165	0.6533786313
164	0.7181995597	0.6520643634
165	0.7186787607	0.6514773981
166	0.7189105135	0.6511876417
167	0.7193230261	0.650624179
168	0.7194913831	0.6503408124
169	0.7196239078	0.6497420242
170	0.720036477	0.6493624792
171	0.7200855988	0.6490556142
172	0.7199745588	0.6487411924
173	0.7201039505	0.6485193496
174	0.7207974722	0.6481901259
175	0.7209956475	0.6478900958
176	0.721524696	0.6476239961
177	0.721679947	0.6473261384
178	0.7216756646	0.6468724745
179	0.7219682362	0.6454741532
180	0.722403132	0.6450414566
181	0.7224620138	0.644479234
182	0.7230017856	0.6436291527
183	0.7231257306	0.6432860796
184	0.7233350111	0.6426875315
185	0.7236204114	0.6422668555
186	0.7241810858	0.6419288361
187	0.7242907256	0.6416840367
188	0.7245466452	0.6410555481
189	0.7245508675	0.6406735779
190	0.7258547914	0.6391368434
191	0.726663893	0.6384690631
192	0.7268060646	0.6381457979
193	0.7272668236	0.6376360729
194	0.7276978797	0.6371811516
195	0.7275641351	0.6368381308
196	0.7278164901	0.6364246689
197	0.7285621274	0.6360042246
198	0.7288953329	0.6355992785
199	0.7290776986	0.6353031254
200	0.7289944149	0.6349201014
201	0.7293111725	0.633885653
202	0.729302763	0.6335167922
203	0.729140495	0.6331415433
204	0.7294367612	0.6328287966
205	0.7296116401	0.6325474624
206	0.730571152	0.6318659009
207	0.7308672116	0.6311908444
208	0.7311654107	0.6309161818
209	0.7313903231	0.6304415522
210	0.7316060306	0.6300290695
211	0.7317205557	0.6295936551
212	0.7315753342	0.6293062569
213	0.7320296337	0.628874397
214	0.732360007	0.6284408354
215	0.7326581121	0.6280096802
216	0.7325059024	0.6277178355
217	0.7330773823	0.6267645823
218	0.7342068313	0.6254454146
219	0.7344400726	0.6250179993
220	0.7343568122	0.6246513011
221	0.7347326708	0.6242469187
222	0.7353458269	0.6236598955
223	0.7354027703	0.6233245837
224	0.7353190584	0.6230701325
225	0.7356352892	0.6220703429
226	0.7358274947	0.6214985873
227	0.7362041755	0.6207610233
228	0.7365993377	0.6199693458
229	0.736852213	0.6196689661
230	0.7371530935	0.6189884956
231	0.7377252028	0.6182439536
232	0.7378831888	0.6179706622
233	0.7382398264	0.6177039953
234	0.7385674955	0.6172629814
235	0.7391980023	0.6163065564
236	0.7392961757	0.6159330289
237	0.7393393691	0.6155772314
238	0.7397848148	0.615123265
239	0.7398467759	0.6147949667
240	0.7400843759	0.6145090766
241	0.7400678966	0.6141693547
242	0.7403499618	0.6138914026
243	0.7405126604	0.6135996931
244	0.7406232396	0.6133458048
245	0.7407754903	0.6129615613
246	0.7412294999	0.6126572235
247	0.7412763832	0.612264946
248	0.741296986	0.6119131825
249	0.7414818817	0.6115995745
250	0.7417516627	0.6108320102
251	0.7421618502	0.6099158957
252	0.7424376345	0.6094056256
253	0.7425813737	0.6092126369
254	0.7425612542	0.6090437464
255	0.7425665457	0.6088160121
256	0.7428648648	0.6086034695
257	0.742929034	0.608257905
258	0.7428365355	0.6079330253
259	0.7430745094	0.607563077
260	0.7433569494	0.6073554953
261	0.7438453408	0.6070778448
262	0.7439136528	0.6067912246
263	0.744172945	0.606518219
264	0.7443482228	0.6062645217
265	0.7446728993	0.6059650366
266	0.7448901203	0.6054321547
267	0.7448289354	0.605179284
268	0.7448493653	0.6049199213
269	0.7452076367	0.6043611604
270	0.7453130538	0.6035703773
271	0.7453772158	0.6033944166
272	0.7458965007	0.6031506925
273	0.7457275867	0.6028205965
274	0.7460101935	0.6025454209
275	0.7461571547	0.6023213536
276	0.7462591543	0.6019995647
277	0.7468565126	0.6017132943
278	0.7470842193	0.6013002668
279	0.7473616914	0.6010063891
280	0.7476712698	0.6005569735
281	0.7476332764	0.6001441314
282	0.748022652	0.599692772
283	0.7485397189	0.5990242753
284	0.7485996621	0.5986153572
285	0.7491765217	0.5982571718
286	0.7492961056	0.5980482213
287	0.7492326564	0.5974758831
288	0.7493344854	0.5971737412
289	0.7495752019	0.5967334861
290	0.7499077619	0.5962485832
291	0.7501594796	0.5960058642
292	0.7501825958	0.5957588817
293	0.7504080589	0.5955141545
294	0.7508961374	0.5952566638
295	0.7510670634	0.594928352
296	0.7507657774	0.5946629833
297	0.75119652	0.5943615952
298	0.7513208333	0.5940764797
299	0.751167598	0.5938448079
300	0.7516354062	0.5936173887
301	0.7516163827	0.5933936558
302	0.7519648516	0.5931451844
303	0.7521678395	0.5929225997
304	0.7523492066	0.59244667
305	0.7526888271	0.5922356285
306	0.7535194656	0.5913654653
307	0.7536120399	0.5911427987
308	0.7537207237	0.5909389236
309	0.7534857413	0.5906890106
310	0.7538647311	0.5902228626
311	0.7537624271	0.5898375752
312	0.7541354489	0.5895124005
313	0.7543467824	0.5893311675
314	0.754498954	0.5890829378
315	0.7546024497	0.5888749966
316	0.7544056397	0.5887072876
317	0.7544124791	0.5885179515
318	0.7547428215	0.5881238398
319	0.7547747807	0.5879083812
320	0.755037823	0.5876695737
321	0.7552072284	0.5875194379
322	0.7552116783	0.5869997571
323	0.7556161889	0.5865645469
324	0.7555710178	0.5863752096
325	0.7555568703	0.5861360947
326	0.75600956	0.585925583
327	0.7561115052	0.5856725005
328	0.756392358	0.5854011102
329	0.7563852779	0.5851668303
330	0.7567505579	0.5848340253
331	0.7569474409	0.5846462515
332	0.7570947952	0.5844763791
333	0.7574080403	0.5842040603
334	0.7579831401	0.5835588247
335	0.7580256024	0.583356008
336	0.7583748707	0.5831266451
337	0.7584954968	0.5826109073
338	0.758563889	0.5823900755
339	0.7585684691	0.5821004481
340	0.7586748538	0.5818345689
341	0.7587089731	0.5814342731
342	0.7587968302	0.5811962268
343	0.7589363195	0.5809933589
344	0.7590064337	0.5808298693
345	0.7591792942	0.5805458975
346	0.759467739	0.5802939246
347	0.7594430664	0.5800684133
348	0.7598140198	0.5797121753
349	0.7599597136	0.5792079541
350	0.7603258774	0.5790320979
351	0.7605857002	0.578756787
352	0.7606170421	0.5785225013
353	0.760855027	0.5782914956
354	0.7608761827	0.5780960895
355	0.7608573745	0.5776549268
356	0.7611797221	0.5774509885
357	0.7613204297	0.5772467053
358	0.7614547538	0.577091084
359	0.7618600385	0.5767988738
360	0.7622075114	0.5763989559
361	0.7619900133	0.5760040297
362	0.762413153	0.5751633176
363	0.7624715972	0.5748840092
364	0.7624060528	0.5745254281
365	0.7624648731	0.5743464924
366	0.7625784499	0.5740851129
367	0.7630141714	0.5738549822
368	0.7630604822	0.5737047198
369	0.7631650971	0.5735260889
370	0.7635659389	0.5732596846
371	0.7637196923	0.5728598298
372	0.7641634057	0.5724477056
373	0.7644000678	0.5722805101
374	0.7645312368	0.5721044618
375	0.7647083915	0.5719032123
376	0.7648134158	0.5717045607
377	0.7647860894	0.5715206016
378	0.7650913597	0.571352933
379	0.7652886931	0.5711435422
380	0.7653642844	0.5709796119
381	0.7652645832	0.5708187849
382	0.7656678263	0.5706529815
383	0.7655717546	0.5704544677
384	0.7657663784	0.5703159452
385	0.7661745764	0.5699915144
386	0.7663620584	0.5698004874
387	0.7662998971	0.5695484403
388	0.7666237428	0.569348068
389	0.7666631042	0.5689773692
390	0.7667690614	0.5688318544
391	0.7666900806	0.5686393689
392	0.7667528403	0.5684894658
393	0.7672689669	0.5680616965
394	0.7674954905	0.567740383
395	0.7675748107	0.567566037
396	0.7675937612	0.5673932164
397	0.7677463374	0.5672057741
398	0.7681307905	0.5669218413
399	0.7681166142	0.5667220467
